questions,option1,option2,option3,option4,option5,answer,explanation,type,section
"আকর্ষণীয় ও ঝুলন্ত লাইকেন কোনটি?",ক্রাসটোজ,ফ্রুটিকোজ,ফোলিয়োজ,লেপ্রোজ,,2,,1,1
"ফটোসিস্টেম (i) সম্পর্কে সঠিক নয়-","ফটোলাইসিস এর সাথে সংযুক্ত নয়","NADP বিজারণে ইলেকট্রন প্রদান করে","শুধুমাত্র অচক্রীয় ফটোফসফোরাইলেশনের সাথে সম্পর্কিত","বিক্রিয়াকেন্দ্রে ক্লোরোফিল a-700 থাকে",,3,"ফটোসিস্টেম (i) উভয় ধরণের ফটোফসফোরাইলেশনের সাথে সম্পর্কিত।",1,1
"নিচের কোনটি প্রোটিন নয়?",প্লাস্টোসায়ানিন,প্লাস্টোকুইনন,সাইটোক্রোম,ফেরিডক্সিন,,2,,1,1
"কোনটি RNA ভাইরাস?",TIV,T₂,ভ্যারিওলা,HIV,,4,,1,1
"কোনটি রেস্ট্রিকশন এনজাইম নয়?",Mbo,"Bam HI","Hpa II","Eco RII",,4,,1,1
"লুন্ডেগার্ড মতবাদে ইলেকট্রন পরিবহন করে-",প্রোটন,সাইটোক্রোম,Fe²⁺,Fe³⁺,,2,,1,1
"নিচের কোনটি সেরিন (Serine) অ্যামাইনো অ্যাসিডকে নির্দেশ করে?",UCC,CUAG,UGA,AUG,,1,,1,1
"অরীয় ভাস্কুলার বান্ডল কোথায় দেখা যায়?","পুষ্পক উদ্ভিদের মুলে","পুষ্পক উদ্ভিদের কাণ্ডে",উভয়ক্ষেত্রে,"কোনোটিই নয়",,1,,1,1
"নাইট্রোজেন ফিকসিং লিগিউমের জন্য উপকারী মৌল কোনটি?",আয়োডিন,সিলিকন,কোবাল্ট,সোডিয়াম,,3,,1,1
"ক্লোরোফিল a এর বর্ণ-",কমলা,নীলাভ-সবুজ,হলদে-সবুজ,হলুদ,,3,,1,1
"বার্লির বৈজ্ঞানিক নাম কী?","<i>Saccharum officinarum L.</i>","<i>Hordeum vulgare L.</i>","<i>Zea mays L.</i>","<i>Phragmites karka</i>",,2,,1,1
"মালভেসি গোত্রের শনাক্তকারী বৈশিষ্ট্য কোনটি?","মঞ্জুরী স্পাইকালেট","পরাগধানী versatile","ফল ক্যারিঅপসিস","অমরা বিন্যাস অক্ষীয়",,4,,1,1
"মাস্টার ব্লু-প্রিন্ট কোনটি?",জাইগোট,DNA,জিনোম,ক্রোমোজোম,,3,,1,1
"ক্রসিং ওভারের ক্ষেত্রে কোনটি ভুল-","জেনেটিক ম্যাপ তৈরিতে সহায়ক","সিস্টার ক্রোমোটিডে সংঘটিত হয়","ক্রোমোটিড ভাঙতে এন্ডোনিউক্লিয়েডজ এনজাইম কাজ করে","প্রথম ভুট্টা উদ্ভিদে আবিষ্কৃত হয়",,2,,1,1
"উপগুল্ম এর উদাহরণ কোনটি?",কালকাসুন্দা,শ্বেতদ্রোন,দুর্বাঘাস,রঙ্গন,,1,,1,1
"কোন পর্বে সর্বপ্রথম যৌন দ্বিরূপতা (Sexual Dimorphism) দেখা যায়-",নেমাটোডা,প্লাটিহেলমিনথিস,নিডারিয়া,সবগুলো,,1,,1,1
"রুই মাছের হোমোসাকাল লেজে রক্ত সরবরাহ করে-","Mesentric artery","Circulus cephalicas","Opthalmic artery","Caudal artery",,4,,1,1
"পরিপাক নালীর কোন অঙ্গে রুগী নামক ভাঁজ দেখা যায়?",কোলন,পাকস্থলী,মুখগহ্বর,ডিওডেনাম,,2,,1,1
"কোনটি কর্ডাটা পর্বের?","<i>Periplaneta americana</i>","<i>Labeo rohita</i>","<i>Poekilocerus pictus</i>","<i>Hydra vulgaris</i>",,2,,1,1
"ভ্রুণের কোন স্তর থেকে অস্থি উৎপন্ন হয়?",এন্ডোডার্ম,এক্টোডার্ম,মেসোডার্ম,সবগুলো,,3,"অস্থি, পেশি, টেনডন, লিগামেন্ট, রক্তকণিকা উৎপন্ন হয় একইস্থান থেকে (ভ্রূণের মেসোডার্ম)।",1,1
"মানব হৃদপিণ্ডের কোন স্থানে সাইনো-অ্যাট্রিয়াল নোড অবস্থিত?","বাম অলিন্দ","ডান নিলয়","বাম নিলয়","ডান অলিন্দ",,4,,1,1
"সন্ধিপদী প্রাণীদের ক্ষেত্রে কোনটি সঠিক?","ম্যালপিজিয়ান নালিকা","মালপিজিয়ান বডি",নেফ্রিডিয়া,ব্লাস্টুলা,,1,,1,1
"কার্ডিয়াক চক্রের কোন দশার সময়কাল ০.৭ সেকেন্ড?","অ্যাট্রিয়ামের সিস্টোল","অ্যাট্রিয়ামের ডায়াস্টোল","ভেন্ট্রিকলের ডায়াস্টোল","ভেন্ট্রিকলের সিস্টোল",,2,,1,1
"রুইমাছ কোন বর্গের প্রাণী?",Actinopterygii,Vertebrata,Cyprinidae,Cypriniformes,,4,,1,1
"নিচের কোনটি জীবন্ত জীবাশ্ম নয়-",<i>Limulus</i>,<i>Latimaria</i>,ঘোড়া,প্লাটিপাস,,3,,1,1
"লোহিত কণিকার ভাঙ্গনের ফলে উৎপন্ন আয়রন যকৃতে কী হিসেবে জমা থাকে?",অ্যানজিওটেনসিনোজেন,ফেটোপ্রোটিন,"ফেরাস সালফেট",ফেরিটিন,,4,"ফেরিটিন হলো একটি প্রোটিন, যে প্রোটিনে আয়রন থাকে। আয়রন সরাসরি সঞ্চিত থাকতে পারে না। এটি ফেরিটিন হিসেবে যকৃতে সঞ্চিত থাকে।",1,1
